id_transaccion,id_contrato,id_cliente,id_producto,fecha,ingreso,costo,margen
72,3,3,1,2024-11-21,181.72,44.0,137.72
73,4,3,10,2023-01-01,7.36,2.96,4.4
74,4,3,10,2023-01-31,7.04,2.77,4.27
75,4,3,10,2023-03-02,7.06,2.88,4.18
76,4,3,10,2023-04-01,7.11,2.89,4.22
77,4,3,10,2023-05-01,7.39,2.84,4.55
78,4,3,10,2023-05-31,7.39,2.68,4.71
79,5,3,8,2023-01-01,207.33,63.58,143.75
80,5,3,8,2023-01-31,205.07,64.39,140.68
81,5,3,8,2023-03-02,193.85,65.52,128.33
82,5,3,8,2023-04-01,188.3,62.43,125.87
83,5,3,8,2023-05-01,197.08,61.74,135.34
84,5,3,8,2023-05-31,189.63,64.72,124.91
85,5,3,8,2023-06-30,198.83,63.14,135.69
86,5,3,8,2023-07-30,197.15,61.54,135.61
87,5,3,8,2023-08-29,203.0,64.07,138.93
88,5,3,8,2023-09-28,190.09,63.47,126.62
89,5,3,8,2023-10-28,199.29,61.68,137.61
90,5,3,8,2023-11-27,190.38,62.14,128.24
91,5,3,8,2023-12-27,199.19,63.86,135.33
92,5,3,8,2024-01-26,203.31,65.69,137.62
93,5,3,8,2024-02-25,192.55,64.63,127.92
94,5,3,8,2024-03-26,200.13,63.91,136.22
95,5,3,8,2024-04-25,189.46,64.6,124.86
96,5,3,8,2024-05-25,189.68,64.07,125.61
97,5,3,8,2024-06-24,200.89,63.37,137.52
98,5,3,8,2024-07-24,205.18,64.18,141.0
99,5,3,8,2024-08-23,203.63,60.38,143.25
100,5,3,8,2024-09-22,198.5,66.04,132.46
101,5,3,8,2024-10-22,202.97,64.79,138.18
102,5,3,8,2024-11-21,193.83,63.27,130.56
103,6,3,6,2023-01-01,2.25,0.46,1.79
104,6,3,6,2023-01-31,2.21,0.46,1.75
105,6,3,6,2023-03-02,2.25,0.48,1.77
106,6,3,6,2023-04-01,2.19,0.46,1.73
107,6,3,6,2023-05-01,2.21,0.44,1.77
108,6,3,6,2023-05-31,2.2,0.46,1.74
109,6,3,6,2023-06-30,2.29,0.47,1.82
110,6,3,6,2023-07-30,2.26,0.47,1.79
111,6,3,6,2023-08-29,2.22,0.47,1.75
112,6,3,6,2023-09-28,2.27,0.44,1.83
113,6,3,6,2023-10-28,2.26,0.46,1.8
114,6,3,6,2023-11-27,2.28,0.47,1.81
115,6,3,6,2023-12-27,2.2,0.46,1.74
116,6,3,6,2024-01-26,2.22,0.47,1.75
117,6,3,6,2024-02-25,2.22,0.46,1.76
118,6,3,6,2024-03-26,2.29,0.47,1.82
119,6,3,6,2024-04-25,2.21,0.48,1.73
120,6,3,6,2024-05-25,2.34,0.47,1.87
121,6,3,6,2024-06-24,2.2,0.46,1.74
122,6,3,6,2024-07-24,2.26,0.45,1.81
123,6,3,6,2024-08-23,2.36,0.43,1.93
124,6,3,6,2024-09-22,2.29,0.46,1.83
125,6,3,6,2024-10-22,2.23,0.48,1.75
126,6,3,6,2024-11-21,2.23,0.46,1.77
127,7,4,6,2023-01-01,2.46,0.5,1.96
128,7,4,6,2023-01-31,2.56,0.5,2.06
129,7,4,6,2023-03-02,2.54,0.51,2.03
130,7,4,6,2023-04-01,2.61,0.52,2.09
131,7,4,6,2023-05-01,2.61,0.51,2.1
132,7,4,6,2023-05-31,2.62,0.5,2.12
133,7,4,6,2023-06-30,2.4,0.48,1.92
134,7,4,6,2023-07-30,2.55,0.51,2.04
135,7,4,6,2023-08-29,2.42,0.48,1.94
136,7,4,6,2023-09-28,2.5,0.5,2.0
137,7,4,6,2023-10-28,2.4,0.49,1.91
138,7,4,6,2023-11-27,2.62,0.52,2.1
139,7,4,6,2023-12-27,2.62,0.51,2.11
140,7,4,6,2024-01-26,2.45,0.48,1.97
141,7,4,6,2024-02-25,2.5,0.51,1.99
142,7,4,6,2024-03-26,2.5,0.49,2.01
143,7,4,6,2024-04-25,2.48,0.49,1.99
144,7,4,6,2024-05-25,2.57,0.52,2.05
145,7,4,6,2024-06-24,2.47,0.52,1.95
146,7,4,6,2024-07-24,2.44,0.52,1.92
147,7,4,6,2024-08-23,2.43,0.51,1.92
148,7,4,6,2024-09-22,2.6,0.53,2.07
149,7,4,6,2024-10-22,2.64,0.49,2.15
150,7,4,6,2024-11-21,2.6,0.48,2.12
151,8,4,1,2023-01-01,255.45,62.58,192.87
152,8,4,1,2023-01-31,247.45,62.68,184.77
153,8,4,1,2023-03-02,254.56,66.07,188.49
154,8,4,1,2023-04-01,259.54,62.31,197.23
155,8,4,1,2023-05-01,253.17,66.39,186.78
156,8,4,1,2023-05-31,255.58,67.37,188.21
157,8,4,1,2023-06-30,263.09,63.45,199.64
158,8,4,1,2023-07-30,261.66,63.57,198.09
159,8,4,1,2023-08-29,248.93,63.83,185.1
160,8,4,1,2023-09-28,260.48,64.87,195.61
161,8,4,1,2023-10-28,263.74,62.38,201.36
162,8,4,1,2023-11-27,269.53,62.52,207.01
163,8,4,1,2023-12-27,270.44,61.85,208.59
164,8,4,1,2024-01-26,253.38,65.04,188.34
165,8,4,1,2024-02-25,250.13,64.35,185.78
166,8,4,1,2024-03-26,264.01,65.32,198.69
167,8,4,1,2024-04-25,247.72,62.86,184.86
168,8,4,1,2024-05-25,258.87,63.25,195.62
169,8,4,1,2024-06-24,269.18,66.21,202.97
170,8,4,1,2024-07-24,247.81,64.67,183.14
171,8,4,1,2024-08-23,272.16,65.89,206.27
172,8,4,1,2024-09-22,257.6,62.06,195.54
173,8,4,1,2024-10-22,272.27,62.57,209.7
174,8,4,1,2024-11-21,271.39,62.09,209.3
175,9,4,8,2023-01-01,148.29,46.09,102.2
176,9,4,8,2023-01-31,144.3,44.35,99.95
177,9,4,8,2023-03-02,148.71,48.67,100.04
178,9,4,8,2023-04-01,144.86,48.03,96.83
179,9,4,8,2023-05-01,146.55,48.69,97.86
180,9,4,8,2023-05-31,148.9,47.72,101.18
181,9,4,8,2023-06-30,143.37,45.96,97.41
182,9,4,8,2023-07-30,145.56,45.63,99.93
183,9,4,8,2023-08-29,144.0,48.52,95.48
184,9,4,8,2023-09-28,141.89,46.73,95.16
185,9,4,8,2023-10-28,148.18,44.62,103.56
186,9,4,8,2023-11-27,149.45,44.34,105.11
187,9,4,8,2023-12-27,139.95,44.53,95.42
188,9,4,8,2024-01-26,139.16,47.24,91.92
189,9,4,8,2024-02-25,147.36,44.63,102.73
190,9,4,8,2024-03-26,149.62,45.57,104.05
191,9,4,8,2024-04-25,141.28,44.36,96.92
192,9,4,8,2024-05-25,143.62,45.11,98.51
193,9,4,8,2024-06-24,151.99,46.76,105.23
194,9,4,8,2024-07-24,148.68,46.91,101.77
195,9,4,8,2024-08-23,150.65,46.18,104.47
196,9,4,8,2024-09-22,140.81,44.69,96.12
197,9,4,8,2024-10-22,143.66,46.54,97.12
198,9,4,8,2024-11-21,140.71,48.66,92.05
199,10,4,10,2023-01-01,10.8,4.53,6.27
200,10,4,10,2023-01-31,11.89,4.58,7.31
201,10,4,10,2023-03-02,11.63,4.6,7.03
202,10,4,10,2023-04-01,11.89,4.58,7.31
203,10,4,10,2023-05-01,11.88,4.54,7.34
204,10,4,10,2023-05-31,10.84,4.66,6.18
205,10,4,10,2023-06-30,11.54,4.74,6.8
206,10,4,10,2023-07-30,11.76,4.44,7.32
207,10,4,10,2023-08-29,11.53,4.43,7.1
208,10,4,10,2023-09-28,11.85,4.32,7.53
209,10,4,10,2023-10-28,10.87,4.42,6.45
210,10,4,10,2023-11-27,11.17,4.51,6.66
211,10,4,10,2023-12-27,11.39,4.59,6.8
212,10,4,10,2024-01-26,11.41,4.75,6.66
213,10,4,10,2024-02-25,11.41,4.71,6.7
214,10,4,10,2024-03-26,10.9,4.71,6.19
215,10,4,10,2024-04-25,11.09,4.49,6.6
216,10,4,10,2024-05-25,11.63,4.47,7.16
217,10,4,10,2024-06-24,11.07,4.35,6.72
218,10,4,10,2024-07-24,11.0,4.66,6.34
219,10,4,10,2024-08-23,11.7,4.45,7.25
220,10,4,10,2024-09-22,11.06,4.42,6.64
221,10,4,10,2024-10-22,11.01,4.58,6.43
222,10,4,10,2024-11-21,11.85,4.61,7.24
223,11,5,4,2023-01-01,87.8,17.55,70.25
224,11,5,4,2023-01-31,84.13,17.72,66.41
225,11,5,4,2023-03-02,87.34,18.56,68.78
226,11,5,4,2023-04-01,83.61,18.24,65.37
227,11,5,4,2023-05-01,85.28,17.35,67.93
228,11,5,4,2023-05-31,84.15,18.52,65.63
229,11,5,4,2023-06-30,88.61,18.08,70.53
230,11,5,4,2023-07-30,87.04,18.54,68.5
231,11,5,4,2023-08-29,84.62,17.56,67.06
232,11,5,4,2023-09-28,83.65,18.38,65.27
233,11,5,4,2023-10-28,85.82,17.22,68.6
234,11,5,4,2023-11-27,85.06,18.09,66.97
235,11,5,4,2023-12-27,90.66,18.48,72.18
236,11,5,4,2024-01-26,84.41,18.42,65.99
237,11,5,4,2024-02-25,89.05,18.21,70.84
238,11,5,4,2024-03-26,89.86,18.52,71.34
239,11,5,4,2024-04-25,89.8,18.11,71.69
240,11,5,4,2024-05-25,85.68,17.4,68.28
241,11,5,4,2024-06-24,83.26,17.41,65.85
242,11,5,4,2024-07-24,87.31,18.52,68.79
243,11,5,4,2024-08-23,83.68,17.06,66.62
244,11,5,4,2024-09-22,88.28,18.45,69.83
245,11,5,4,2024-10-22,90.21,18.67,71.54
246,11,5,4,2024-11-21,89.02,17.2,71.82
247,12,6,7,2023-01-01,14.94,3.71,11.23
248,12,6,7,2023-01-31,14.92,3.7,11.22
249,12,6,7,2023-03-02,15.33,3.87,11.46
250,12,6,7,2023-04-01,15.05,3.68,11.37
251,12,6,7,2023-05-01,14.77,3.63,11.14
252,12,6,7,2023-05-31,15.47,3.66,11.81
253,12,6,7,2023-06-30,14.96,3.62,11.34
254,12,6,7,2023-07-30,15.19,3.62,11.57
255,12,6,7,2023-08-29,14.98,3.67,11.31
256,12,6,7,2023-09-28,14.46,3.62,10.84
257,12,6,7,2023-10-28,14.74,3.94,10.8
258,12,6,7,2023-11-27,15.62,3.88,11.74
259,12,6,7,2023-12-27,15.26,3.97,11.29
260,12,6,7,2024-01-26,15.17,3.79,11.38
261,12,6,7,2024-02-25,15.24,3.97,11.27
262,12,6,7,2024-03-26,14.89,3.8,11.09
263,12,6,7,2024-04-25,15.8,3.94,11.86
264,12,6,7,2024-05-25,14.64,3.69,10.95
265,12,6,7,2024-06-24,15.53,3.77,11.76
266,12,6,7,2024-07-24,15.52,3.62,11.9
267,12,6,7,2024-08-23,14.76,3.72,11.04
268,12,6,7,2024-09-22,15.56,3.73,11.83
269,12,6,7,2024-10-22,15.25,3.74,11.51
270,12,6,7,2024-11-21,15.48,3.94,11.54
271,13,6,12,2023-01-01,157.55,46.36,111.19
272,13,6,12,2023-01-31,153.59,45.7,107.89
273,13,6,12,2023-03-02,159.57,48.87,110.7
274,13,6,12,2023-04-01,156.97,47.8,109.17
275,13,6,12,2023-05-01,153.52,49.09,104.43
276,13,6,12,2023-05-31,159.61,45.72,113.89
277,13,6,12,2023-06-30,157.37,46.05,111.32
278,13,6,12,2023-07-30,160.86,45.29,115.57
279,13,6,12,2023-08-29,152.52,48.11,104.41
280,13,6,12,2023-09-28,164.16,44.73,119.43
281,13,6,12,2023-10-28,155.42,45.1,110.32
282,13,6,12,2023-11-27,159.91,44.94,114.97
283,13,6,12,2023-12-27,151.59,47.61,103.98
284,13,6,12,2024-01-26,148.9,48.1,100.8
285,13,6,12,2024-02-25,161.11,46.37,114.74
286,13,6,12,2024-03-26,157.64,47.75,109.89
287,13,6,12,2024-04-25,152.86,44.68,108.18
288,13,6,12,2024-05-25,158.86,44.84,114.02
289,13,6,12,2024-06-24,154.79,45.04,109.75
290,13,6,12,2024-07-24,155.34,48.9,106.44
291,13,6,12,2024-08-23,157.02,46.31,110.71
292,13,6,12,2024-09-22,161.38,46.15,115.23
293,13,6,12,2024-10-22,160.94,48.91,112.03
294,13,6,12,2024-11-21,156.68,48.44,108.24
295,14,6,9,2023-01-01,35.41,11.03,24.38
296,14,6,9,2023-01-31,35.68,11.56,24.12
297,14,6,9,2023-03-02,36.4,10.71,25.69
298,14,6,9,2023-04-01,34.81,10.6,24.21
299,14,6,9,2023-05-01,36.73,10.91,25.82
300,14,6,9,2023-05-31,37.09,11.4,25.69
301,14,6,9,2023-06-30,36.97,11.41,25.56
302,14,6,9,2023-07-30,34.34,11.33,23.01
303,14,6,9,2023-08-29,35.93,11.06,24.87
304,14,6,9,2023-09-28,37.08,11.09,25.99
305,14,6,9,2023-10-28,35.39,11.61,23.78
306,14,6,9,2023-11-27,35.45,10.69,24.76
307,14,6,9,2023-12-27,36.67,11.27,25.4
308,14,6,9,2024-01-26,37.13,10.79,26.34
309,14,6,9,2024-02-25,36.28,11.2,25.08
310,14,6,9,2024-03-26,34.48,11.45,23.03
311,14,6,9,2024-04-25,34.11,11.38,22.73
312,14,6,9,2024-05-25,37.09,11.4,25.69
313,14,6,9,2024-06-24,35.85,11.26,24.59
314,14,6,9,2024-07-24,35.45,11.61,23.84
315,14,6,9,2024-08-23,36.99,11.53,25.46
316,14,6,9,2024-09-22,35.11,11.55,23.56
317,14,6,9,2024-10-22,35.73,11.17,24.56
318,14,6,9,2024-11-21,36.96,11.31,25.65
319,15,7,11,2023-01-01,14.67,6.43,8.24
320,15,7,11,2023-01-31,14.37,6.17,8.2
321,15,7,11,2023-03-02,14.29,6.7,7.59
322,15,7,11,2023-04-01,14.61,6.44,8.17
323,15,7,11,2023-05-01,15.1,6.19,8.91
324,15,7,11,2023-05-31,15.21,6.61,8.6
325,15,7,11,2023-06-30,14.37,6.5,7.87
326,15,7,11,2023-07-30,15.3,6.32,8.98
327,15,7,11,2023-08-29,15.2,6.25,8.95
328,15,7,11,2023-09-28,15.34,6.31,9.03
329,15,7,11,2023-10-28,14.56,6.45,8.11
330,15,7,11,2023-11-27,15.26,6.74,8.52
331,15,7,11,2023-12-27,15.42,6.38,9.04
332,15,7,11,2024-01-26,14.51,6.71,7.8
333,15,7,11,2024-02-25,15.54,6.22,9.32
334,15,7,11,2024-03-26,15.04,6.64,8.4
335,15,7,11,2024-04-25,14.83,6.45,8.38
336,15,7,11,2024-05-25,15.22,6.69,8.53
337,15,7,11,2024-06-24,14.28,6.35,7.93
338,15,7,11,2024-07-24,15.15,6.48,8.67
339,15,7,11,2024-08-23,15.43,6.21,9.22
340,15,7,11,2024-09-22,14.32,6.46,7.86
341,15,7,11,2024-10-22,14.48,6.36,8.12
342,15,7,11,2024-11-21,14.57,6.7,7.87
343,16,7,7,2023-01-01,9.73,2.21,7.52
344,16,7,7,2023-01-31,9.43,2.39,7.04
345,16,7,7,2023-03-02,8.99,2.27,6.72
346,16,7,7,2023-04-01,9.66,2.42,7.24
347,16,7,7,2023-05-01,9.36,2.3,7.06
348,16,7,7,2023-05-31,9.48,2.34,7.14
349,16,7,7,2023-06-30,9.24,2.4,6.84
350,16,7,7,2023-07-30,9.66,2.34,7.32
351,16,7,7,2023-08-29,9.12,2.43,6.69
352,16,7,7,2023-09-28,9.17,2.21,6.96
353,16,7,7,2023-10-28,9.74,2.39,7.35
354,16,7,7,2023-11-27,9.64,2.3,7.34
355,16,7,7,2023-12-27,9.18,2.3,6.88
356,16,7,7,2024-01-26,9.07,2.22,6.85
357,16,7,7,2024-02-25,9.67,2.28,7.39
358,16,7,7,2024-03-26,9.37,2.33,7.04
359,16,7,7,2024-04-25,9.69,2.38,7.31
360,16,7,7,2024-05-25,8.86,2.38,6.48
361,16,7,7,2024-06-24,9.16,2.35,6.81
362,16,7,7,2024-07-24,8.85,2.21,6.64
363,16,7,7,2024-08-23,9.26,2.25,7.01
364,16,7,7,2024-09-22,9.09,2.26,6.83
365,16,7,7,2024-10-22,9.46,2.36,7.1
366,16,7,7,2024-11-21,8.93,2.34,6.59
367,17,7,10,2023-01-01,7.69,2.86,4.83
368,17,7,10,2023-01-31,6.98,3.04,3.94
369,17,7,10,2023-03-02,7.64,2.96,4.68
370,18,7,12,2023-01-01,516.99,167.14,349.85
371,18,7,12,2023-01-31,533.14,168.11,365.03
372,18,7,12,2023-03-02,555.65,156.71,398.94
373,18,7,12,2023-04-01,515.31,167.82,347.49
374,18,7,12,2023-05-01,547.3,160.97,386.33
375,18,7,12,2023-05-31,530.85,165.67,365.18
376,18,7,12,2023-06-30,540.59,163.68,376.91
377,18,7,12,2023-07-30,553.44,166.01,387.43
378,18,7,12,2023-08-29,565.83,162.32,403.51
379,18,7,12,2023-09-28,563.7,156.21,407.49
380,18,7,12,2023-10-28,521.41,167.27,354.14
381,18,7,12,2023-11-27,548.57,167.86,380.71
382,18,7,12,2023-12-27,553.52,166.35,387.17
383,18,7,12,2024-01-26,529.25,161.18,368.07
384,18,7,12,2024-02-25,550.75,164.62,386.13
385,18,7,12,2024-03-26,540.62,167.41,373.21
386,18,7,12,2024-04-25,536.47,165.55,370.92
387,18,7,12,2024-05-25,517.49,168.64,348.85
388,18,7,12,2024-06-24,551.29,164.2,387.09
389,18,7,12,2024-07-24,516.03,166.03,350.0
390,18,7,12,2024-08-23,525.87,169.0,356.87
391,18,7,12,2024-09-22,544.89,155.89,389.0
392,18,7,12,2024-10-22,559.47,165.14,394.33
393,18,7,12,2024-11-21,564.03,162.11,401.92
394,19,8,1,2023-01-01,240.26,60.87,179.39
395,19,8,1,2023-01-31,234.88,59.58,175.3
396,19,8,1,2023-03-02,247.21,55.61,191.6
397,19,8,1,2023-04-01,228.44,56.12,172.32
398,19,8,1,2023-05-01,244.85,59.31,185.54
399,19,8,1,2023-05-31,243.79,57.24,186.55
400,19,8,1,2023-06-30,240.7,57.29,183.41
401,19,8,1,2023-07-30,226.31,61.01,165.3
402,19,8,1,2023-08-29,242.23,55.42,186.81
403,19,8,1,2023-09-28,235.84,60.76,175.08
404,19,8,1,2023-10-28,235.64,56.48,179.16
405,19,8,1,2023-11-27,237.8,60.7,177.1
406,19,8,1,2023-12-27,242.56,58.53,184.03
407,19,8,1,2024-01-26,225.32,55.87,169.45
408,19,8,1,2024-02-25,227.91,59.63,168.28
409,19,8,1,2024-03-26,231.03,55.97,175.06
410,19,8,1,2024-04-25,243.85,56.15,187.7
411,19,8,1,2024-05-25,231.26,60.95,170.31
412,19,8,1,2024-06-24,235.08,58.37,176.71
413,19,8,1,2024-07-24,238.04,60.94,177.1
414,19,8,1,2024-08-23,239.61,60.42,179.19
415,19,8,1,2024-09-22,242.94,55.63,187.31
416,19,8,1,2024-10-22,239.28,56.71,182.57
417,19,8,1,2024-11-21,225.27,56.62,168.65
418,20,8,8,2023-01-01,118.05,40.51,77.54
419,20,8,8,2023-01-31,124.65,39.15,85.5
420,20,8,8,2023-03-02,123.18,39.59,83.59
421,20,8,8,2023-04-01,117.17,39.68,77.49
422,20,8,8,2023-05-01,122.75,37.63,85.12
423,20,8,8,2023-05-31,118.94,38.93,80.01
424,20,8,8,2023-06-30,118.73,38.46,80.27
425,20,8,8,2023-07-30,118.55,40.35,78.2
426,20,8,8,2023-08-29,116.59,38.4,78.19
427,20,8,8,2023-09-28,126.88,40.36,86.52
428,20,8,8,2023-10-28,116.4,37.53,78.87
429,20,8,8,2023-11-27,124.98,37.48,87.5
430,20,8,8,2023-12-27,124.67,37.34,87.33
431,20,8,8,2024-01-26,118.13,40.16,77.97
432,20,8,8,2024-02-25,127.28,41.0,86.28
433,20,8,8,2024-03-26,117.37,40.14,77.23
434,20,8,8,2024-04-25,126.64,38.43,88.21
435,20,8,8,2024-05-25,117.14,38.74,78.4
436,20,8,8,2024-06-24,117.88,38.45,79.43
437,20,8,8,2024-07-24,117.04,40.5,76.54
438,20,8,8,2024-08-23,117.66,37.9,79.76
439,20,8,8,2024-09-22,120.79,37.7,83.09
440,20,8,8,2024-10-22,123.2,38.41,84.79
441,20,8,8,2024-11-21,125.56,40.13,85.43
442,21,9,1,2023-01-01,205.29,49.76,155.53
443,21,9,1,2023-01-31,197.61,48.25,149.36
444,21,9,1,2023-03-02,203.67,52.41,151.26
445,21,9,1,2023-04-01,196.55,48.39,148.16
446,21,9,1,2023-05-01,201.59,51.62,149.97
447,21,9,1,2023-05-31,202.51,50.71,151.8
448,21,9,1,2023-06-30,214.34,51.78,162.56
449,21,9,1,2023-07-30,211.62,51.08,160.54
450,21,9,1,2023-08-29,198.61,49.49,149.12
451,21,9,1,2023-09-28,209.05,52.06,156.99
452,21,9,1,2023-10-28,199.1,52.15,146.95
453,21,9,1,2023-11-27,197.38,50.98,146.4
454,21,9,1,2023-12-27,198.37,50.9,147.47
455,21,9,1,2024-01-26,197.14,49.43,147.71
456,21,9,1,2024-02-25,208.34,52.89,155.45
457,21,9,1,2024-03-26,208.28,49.37,158.91
458,21,9,1,2024-04-25,211.09,52.13,158.96
459,21,9,1,2024-05-25,213.01,52.06,160.95
460,21,9,1,2024-06-24,200.95,51.53,149.42
461,21,9,1,2024-07-24,212.3,51.34,160.96
462,21,9,1,2024-08-23,195.72,49.04,146.68
463,21,9,1,2024-09-22,208.6,48.85,159.75
464,21,9,1,2024-10-22,202.6,52.92,149.68
465,21,9,1,2024-11-21,210.58,47.98,162.6
466,22,9,10,2023-01-01,5.74,2.11,3.63
467,22,9,10,2023-01-31,5.57,2.26,3.31
468,22,9,10,2023-03-02,5.27,2.11,3.16
469,22,9,10,2023-04-01,5.64,2.25,3.39
470,22,9,10,2023-05-01,5.62,2.27,3.35
471,22,9,10,2023-05-31,5.3,2.12,3.18
472,22,9,10,2023-06-30,5.67,2.16,3.51
473,22,9,10,2023-07-30,5.54,2.15,3.39
474,22,9,10,2023-08-29,5.67,2.16,3.51
475,22,9,10,2023-09-28,5.72,2.2,3.52
476,22,9,10,2023-10-28,5.38,2.23,3.15
477,22,9,10,2023-11-27,5.65,2.32,3.33
478,22,9,10,2023-12-27,5.61,2.29,3.32
479,22,9,10,2024-01-26,5.7,2.33,3.37
480,22,9,10,2024-02-25,5.47,2.33,3.14
481,22,9,10,2024-03-26,5.59,2.16,3.43
482,22,9,10,2024-04-25,5.48,2.24,3.24
483,22,9,10,2024-05-25,5.8,2.13,3.67
484,22,9,10,2024-06-24,5.6,2.11,3.49
485,22,9,10,2024-07-24,5.82,2.19,3.63
486,22,9,10,2024-08-23,5.65,2.21,3.44
487,22,9,10,2024-09-22,5.7,2.26,3.44
488,22,9,10,2024-10-22,5.58,2.28,3.3
489,22,9,10,2024-11-21,5.53,2.31,3.22
490,23,10,10,2023-01-01,13.81,5.45,8.36
491,23,10,10,2023-01-31,13.92,5.48,8.44
492,24,11,11,2023-01-01,9.68,4.08,5.6
493,24,11,11,2023-01-31,9.02,4.02,5.0
494,24,11,11,2023-03-02,9.59,3.92,5.67
495,24,11,11,2023-04-01,9.38,3.87,5.51
496,24,11,11,2023-05-01,9.79,3.91,5.88
497,24,11,11,2023-05-31,9.1,3.96,5.14
498,24,11,11,2023-06-30,9.78,4.14,5.64
499,24,11,11,2023-07-30,9.78,4.17,5.61
500,24,11,11,2023-08-29,9.58,4.2,5.38
501,24,11,11,2023-09-28,9.13,4.23,4.9
502,24,11,11,2023-10-28,8.98,4.07,4.91
503,24,11,11,2023-11-27,9.38,3.95,5.43
504,24,11,11,2023-12-27,9.75,3.99,5.76
505,24,11,11,2024-01-26,9.46,3.87,5.59
506,24,11,11,2024-02-25,9.79,4.2,5.59
507,24,11,11,2024-03-26,9.55,3.86,5.69
508,24,11,11,2024-04-25,9.36,3.89,5.47
509,24,11,11,2024-05-25,9.63,3.98,5.65
510,24,11,11,2024-06-24,9.58,4.03,5.55
511,24,11,11,2024-07-24,9.76,4.21,5.55
512,24,11,11,2024-08-23,9.74,3.92,5.82
513,24,11,11,2024-09-22,9.02,3.95,5.07
514,24,11,11,2024-10-22,9.32,4.2,5.12
515,24,11,11,2024-11-21,9.42,3.91,5.51
